Step: 510, Loss: 0.0533 (Seg: 0.0393, Score: 0.2800), Batch IoU: 0.4750, Mean IoU: 0.4697
Step: 520, Loss: 0.0492 (Seg: 0.0356, Score: 0.2735), Batch IoU: 0.5596, Mean IoU: 0.4706
Step: 530, Loss: 0.0600 (Seg: 0.0461, Score: 0.2789), Batch IoU: 0.4492, Mean IoU: 0.4704
Step: 540, Loss: 0.0686 (Seg: 0.0522, Score: 0.3284), Batch IoU: 0.3832, Mean IoU: 0.4695
Step: 550, Loss: 0.0524 (Seg: 0.0393, Score: 0.2611), Batch IoU: 0.4642, Mean IoU: 0.4695
Step: 560, Loss: 0.0752 (Seg: 0.0558, Score: 0.3879), Batch IoU: 0.4352, Mean IoU: 0.4691
Step: 570, Loss: 0.0649 (Seg: 0.0517, Score: 0.2631), Batch IoU: 0.4141, Mean IoU: 0.4686
Step: 580, Loss: 0.0421 (Seg: 0.0297, Score: 0.2469), Batch IoU: 0.5832, Mean IoU: 0.4697
Step: 590, Loss: 0.0661 (Seg: 0.0525, Score: 0.2723), Batch IoU: 0.4397, Mean IoU: 0.4694
Step: 600, Loss: 0.0676 (Seg: 0.0498, Score: 0.3557), Batch IoU: 0.4489, Mean IoU: 0.4692
Step: 610, Loss: 0.0700 (Seg: 0.0544, Score: 0.3128), Batch IoU: 0.4286, Mean IoU: 0.4688
Step: 620, Loss: 0.0628 (Seg: 0.0505, Score: 0.2456), Batch IoU: 0.4825, Mean IoU: 0.4689
Step: 630, Loss: 0.0426 (Seg: 0.0283, Score: 0.2863), Batch IoU: 0.4639, Mean IoU: 0.4689
Step: 640, Loss: 0.0768 (Seg: 0.0597, Score: 0.3435), Batch IoU: 0.4053, Mean IoU: 0.4683
Step: 650, Loss: 0.0617 (Seg: 0.0476, Score: 0.2811), Batch IoU: 0.3785, Mean IoU: 0.4674
Step: 660, Loss: 0.0570 (Seg: 0.0476, Score: 0.1892), Batch IoU: 0.3916, Mean IoU: 0.4666
Step: 670, Loss: 0.0396 (Seg: 0.0283, Score: 0.2268), Batch IoU: 0.4873, Mean IoU: 0.4668
Step: 680, Loss: 0.0497 (Seg: 0.0408, Score: 0.1774), Batch IoU: 0.4651, Mean IoU: 0.4668
Step: 690, Loss: 0.0502 (Seg: 0.0360, Score: 0.2842), Batch IoU: 0.4699, Mean IoU: 0.4668
Step: 700, Loss: 0.0613 (Seg: 0.0462, Score: 0.3012), Batch IoU: 0.4277, Mean IoU: 0.4664
Step: 710, Loss: 0.0759 (Seg: 0.0580, Score: 0.3578), Batch IoU: 0.4535, Mean IoU: 0.4663
Step: 720, Loss: 0.0575 (Seg: 0.0444, Score: 0.2612), Batch IoU: 0.4576, Mean IoU: 0.4662
Step: 730, Loss: 0.0461 (Seg: 0.0318, Score: 0.2862), Batch IoU: 0.4810, Mean IoU: 0.4664
Step: 740, Loss: 0.0705 (Seg: 0.0558, Score: 0.2935), Batch IoU: 0.3446, Mean IoU: 0.4651
Step: 750, Loss: 0.0521 (Seg: 0.0388, Score: 0.2653), Batch IoU: 0.3733, Mean IoU: 0.4642
Step: 760, Loss: 0.0446 (Seg: 0.0318, Score: 0.2563), Batch IoU: 0.4819, Mean IoU: 0.4644
Step: 770, Loss: 0.0544 (Seg: 0.0448, Score: 0.1921), Batch IoU: 0.4650, Mean IoU: 0.4644
Step: 780, Loss: 0.0584 (Seg: 0.0467, Score: 0.2329), Batch IoU: 0.4009, Mean IoU: 0.4638
Step: 790, Loss: 0.0840 (Seg: 0.0680, Score: 0.3210), Batch IoU: 0.4128, Mean IoU: 0.4633
Step: 800, Loss: 0.0506 (Seg: 0.0392, Score: 0.2270), Batch IoU: 0.4791, Mean IoU: 0.4634
Step: 810, Loss: 0.0649 (Seg: 0.0497, Score: 0.3044), Batch IoU: 0.4252, Mean IoU: 0.4630
Step: 820, Loss: 0.0440 (Seg: 0.0318, Score: 0.2429), Batch IoU: 0.4512, Mean IoU: 0.4629
Step: 830, Loss: 0.0313 (Seg: 0.0211, Score: 0.2043), Batch IoU: 0.6070, Mean IoU: 0.4644
Step: 840, Loss: 0.0458 (Seg: 0.0316, Score: 0.2843), Batch IoU: 0.4988, Mean IoU: 0.4647
Step: 850, Loss: 0.0475 (Seg: 0.0312, Score: 0.3277), Batch IoU: 0.5159, Mean IoU: 0.4652
Step: 860, Loss: 0.0734 (Seg: 0.0551, Score: 0.3662), Batch IoU: 0.3146, Mean IoU: 0.4637
Step: 870, Loss: 0.1012 (Seg: 0.0891, Score: 0.2409), Batch IoU: 0.4517, Mean IoU: 0.4636
Step: 880, Loss: 0.0495 (Seg: 0.0361, Score: 0.2677), Batch IoU: 0.4043, Mean IoU: 0.4630
Step: 890, Loss: 0.0495 (Seg: 0.0365, Score: 0.2599), Batch IoU: 0.4611, Mean IoU: 0.4630
Step: 900, Loss: 0.0416 (Seg: 0.0303, Score: 0.2266), Batch IoU: 0.4503, Mean IoU: 0.4629
Step: 910, Loss: 0.0560 (Seg: 0.0405, Score: 0.3105), Batch IoU: 0.4510, Mean IoU: 0.4627
Step: 920, Loss: 0.0368 (Seg: 0.0233, Score: 0.2699), Batch IoU: 0.5578, Mean IoU: 0.4637
Step: 930, Loss: 0.0387 (Seg: 0.0258, Score: 0.2569), Batch IoU: 0.5035, Mean IoU: 0.4641
Step: 940, Loss: 0.0420 (Seg: 0.0269, Score: 0.3012), Batch IoU: 0.5326, Mean IoU: 0.4648
Step: 950, Loss: 0.0549 (Seg: 0.0380, Score: 0.3377), Batch IoU: 0.4790, Mean IoU: 0.4649
Step: 960, Loss: 0.0366 (Seg: 0.0249, Score: 0.2323), Batch IoU: 0.6209, Mean IoU: 0.4665
Step: 970, Loss: 0.0434 (Seg: 0.0289, Score: 0.2883), Batch IoU: 0.4964, Mean IoU: 0.4668
Step: 980, Loss: 0.0448 (Seg: 0.0308, Score: 0.2806), Batch IoU: 0.4943, Mean IoU: 0.4671
Step: 990, Loss: 0.0379 (Seg: 0.0253, Score: 0.2519), Batch IoU: 0.5254, Mean IoU: 0.4676
Step: 1000, Loss: 0.0494 (Seg: 0.0372, Score: 0.2436), Batch IoU: 0.3551, Mean IoU: 0.4665
Step: 1010, Loss: 0.0720 (Seg: 0.0542, Score: 0.3560), Batch IoU: 0.3466, Mean IoU: 0.4653
Step: 1020, Loss: 0.0596 (Seg: 0.0439, Score: 0.3137), Batch IoU: 0.3775, Mean IoU: 0.4644
Step: 1030, Loss: 0.0851 (Seg: 0.0695, Score: 0.3114), Batch IoU: 0.4104, Mean IoU: 0.4639
Step: 1040, Loss: 0.0682 (Seg: 0.0556, Score: 0.2530), Batch IoU: 0.4274, Mean IoU: 0.4635
Step: 1050, Loss: 0.0414 (Seg: 0.0294, Score: 0.2416), Batch IoU: 0.4940, Mean IoU: 0.4638
Step: 1060, Loss: 0.0642 (Seg: 0.0507, Score: 0.2698), Batch IoU: 0.4786, Mean IoU: 0.4640
Step: 1070, Loss: 0.0634 (Seg: 0.0481, Score: 0.3072), Batch IoU: 0.4302, Mean IoU: 0.4636
Step: 1080, Loss: 0.0660 (Seg: 0.0490, Score: 0.3398), Batch IoU: 0.4765, Mean IoU: 0.4638
Step: 1090, Loss: 0.0477 (Seg: 0.0329, Score: 0.2971), Batch IoU: 0.5093, Mean IoU: 0.4642
Step: 1100, Loss: 0.0821 (Seg: 0.0684, Score: 0.2747), Batch IoU: 0.3424, Mean IoU: 0.4630
Step: 1110, Loss: 0.0315 (Seg: 0.0154, Score: 0.3216), Batch IoU: 0.6842, Mean IoU: 0.4652
Step: 1120, Loss: 0.0470 (Seg: 0.0323, Score: 0.2945), Batch IoU: 0.4907, Mean IoU: 0.4655
Step: 1130, Loss: 0.0539 (Seg: 0.0433, Score: 0.2110), Batch IoU: 0.4188, Mean IoU: 0.4650
Step: 1140, Loss: 0.0419 (Seg: 0.0286, Score: 0.2657), Batch IoU: 0.4968, Mean IoU: 0.4653
Step: 1150, Loss: 0.0428 (Seg: 0.0282, Score: 0.2916), Batch IoU: 0.4711, Mean IoU: 0.4654
Step: 1160, Loss: 0.0561 (Seg: 0.0423, Score: 0.2753), Batch IoU: 0.4817, Mean IoU: 0.4655
Step: 1170, Loss: 0.0936 (Seg: 0.0745, Score: 0.3825), Batch IoU: 0.3436, Mean IoU: 0.4643
Step: 1180, Loss: 0.0547 (Seg: 0.0380, Score: 0.3346), Batch IoU: 0.4632, Mean IoU: 0.4643
Step: 1190, Loss: 0.0403 (Seg: 0.0268, Score: 0.2700), Batch IoU: 0.5042, Mean IoU: 0.4647
Step: 1200, Loss: 0.0463 (Seg: 0.0364, Score: 0.1987), Batch IoU: 0.4716, Mean IoU: 0.4648
Step: 1210, Loss: 0.0554 (Seg: 0.0389, Score: 0.3317), Batch IoU: 0.4972, Mean IoU: 0.4651
Step: 1220, Loss: 0.0419 (Seg: 0.0272, Score: 0.2950), Batch IoU: 0.4944, Mean IoU: 0.4654
Step: 1230, Loss: 0.0616 (Seg: 0.0466, Score: 0.3002), Batch IoU: 0.4471, Mean IoU: 0.4652
Step: 1240, Loss: 0.0511 (Seg: 0.0350, Score: 0.3221), Batch IoU: 0.4818, Mean IoU: 0.4654
Step: 1250, Loss: 0.0485 (Seg: 0.0375, Score: 0.2210), Batch IoU: 0.4607, Mean IoU: 0.4653
Step: 1260, Loss: 0.0608 (Seg: 0.0453, Score: 0.3090), Batch IoU: 0.4025, Mean IoU: 0.4647
Step: 1270, Loss: 0.0430 (Seg: 0.0289, Score: 0.2817), Batch IoU: 0.4766, Mean IoU: 0.4648
Step: 1280, Loss: 0.0408 (Seg: 0.0248, Score: 0.3211), Batch IoU: 0.5033, Mean IoU: 0.4652
Step: 1290, Loss: 0.0351 (Seg: 0.0221, Score: 0.2613), Batch IoU: 0.6295, Mean IoU: 0.4669
Step: 1300, Loss: 0.0469 (Seg: 0.0343, Score: 0.2519), Batch IoU: 0.4459, Mean IoU: 0.4666
Step: 1310, Loss: 0.0601 (Seg: 0.0441, Score: 0.3193), Batch IoU: 0.5300, Mean IoU: 0.4673
Step: 1320, Loss: 0.0510 (Seg: 0.0377, Score: 0.2675), Batch IoU: 0.4712, Mean IoU: 0.4673
Step: 1330, Loss: 0.0659 (Seg: 0.0517, Score: 0.2831), Batch IoU: 0.4194, Mean IoU: 0.4668
Step: 1340, Loss: 0.0564 (Seg: 0.0417, Score: 0.2929), Batch IoU: 0.4681, Mean IoU: 0.4669
Step: 1350, Loss: 0.0568 (Seg: 0.0411, Score: 0.3148), Batch IoU: 0.4273, Mean IoU: 0.4665
Step: 1360, Loss: 0.0432 (Seg: 0.0315, Score: 0.2345), Batch IoU: 0.4864, Mean IoU: 0.4667
Step: 1370, Loss: 0.0380 (Seg: 0.0244, Score: 0.2731), Batch IoU: 0.4927, Mean IoU: 0.4669
Step: 1380, Loss: 0.0436 (Seg: 0.0336, Score: 0.2012), Batch IoU: 0.4075, Mean IoU: 0.4663
Step: 1390, Loss: 0.0665 (Seg: 0.0542, Score: 0.2446), Batch IoU: 0.4583, Mean IoU: 0.4662
Step: 1400, Loss: 0.0567 (Seg: 0.0425, Score: 0.2831), Batch IoU: 0.4117, Mean IoU: 0.4657
Step: 1410, Loss: 0.0457 (Seg: 0.0365, Score: 0.1845), Batch IoU: 0.4181, Mean IoU: 0.4652
Step: 1420, Loss: 0.0550 (Seg: 0.0428, Score: 0.2438), Batch IoU: 0.3186, Mean IoU: 0.4638
Step: 1430, Loss: 0.0340 (Seg: 0.0233, Score: 0.2154), Batch IoU: 0.5225, Mean IoU: 0.4643
